code,description,price,unit,bundle,minimum_sale
ADA002,ADAPTADOR 3 A 2 (2 PZAS) UL GREENHOUSE,"0,00",JGO,144,144
ANT001,ANTEOJOS SEGURIDAD CLEAR MOD. GB005 CE/ANSI BUFFALO,"0,00",PZA,100,100
ANT002,ANTEOJOS (MONOLENTE) SEGURIDAD CLEAR GB008 CE/ANSI BUFFALO,"51,85",PZA,200,200
ANT003,ANTEOJOS SEGURIDAD CLEAR  EXTENSIBLE GB014-1 CE/ANSI BUFFALO,"0,00",PZA,100,100
ATO001,ATOMIZADOR TS923 AZUL BUFFALO,"0,00",PZA,350,350
ATO002,ATOMIZADOR  TS3504  ROJO HEAVY DUTY BUFFALO,"0,00",PZA,300,300
ATO003,ATOMIZADOR AZUL TS923  C/BOTELLA 750 CC BUFFALO,"40,49",PZA,100,100
ATO004,ATOMIZADOR ROJO TS3504 C/BOTELLA  750 CC BUFFALO,"65,28",PZA,100,100
ATO005,ATOMIZADOR AZUL TS923  C/BOTELLA 1 LTS BUFFALO,"42,16",PZA,80,80
ATO006,ATOMIZADOR ROJO TS3504 C/BOTELLA  1 LTS BUFFALO,"0,00",PZA,80,80
BAL002,BALDE ALBANIL 10 LTS 100% GOMA BUFFALO,"244,12",PZA,10,40
BAN001G,"BANDEJA 9"" AMARILLA GRANDE 29 X 38 CMS. RADIANT","0,00",PZA,40,200
BAN001M,"BANDEJA 9"" AMARILLA MEDIANA 28 X 33 CMS. RADIANT","0,00",PZA,40,200
BAN004,"BANDEJA 4"" NATURAL CLEAR 14.5 X 29 CMS RADIANT","0,00",PZA,100,400
BAN005G,"BANDEJA 9"" NEGRA GRANDE 29x38 CMS RADIANT","0,00",PZA,40,200
BAN005M,"BANDEJA 9"" NEGRA MEDIANA 28 X 33 CMS RADIANT","0,00",PZA,40,200
BRO030,"BROCHA MAGNOLIA MANGO MADERA 1/2"" RADIANT","16,60",PZA,1200,1200
BRO031,"BROCHA MAGNOLIA MANGO MADERA 1"" RADIANT","0,00",PZA,840,840
BRO032,"BROCHA MAGNOLIA MANGO MADERA 1 1/2"" RADIANT","0,00",PZA,600,600
BRO033,"BROCHA MAGNOLIA MANGO MADERA 2"" RADIANT","0,00",PZA,360,360
BRO034,"BROCHA MAGNOLIA MANGO MADERA 2 1/2"" RADIANT","0,00",PZA,300,300
BRO035,"BROCHA MAGNOLIA MANGO MADERA 3"" RADIANT","0,00",PZA,240,240
BRO036,"BROCHA MAGNOLIA MANGO MADERA 4"" RADIANT","0,00",PZA,120,120
BRO037,"BROCHA MAGNOLIA MANGO MADERA 5"" RADIANT","0,00",PZA,120,120
BRO038,"BROCHA MAGNOLIA MANGO MADERA 3 1/2"" RADIANT","0,00",PZA,240,240
BRO050,"BROCHA PETUNIA 1/2"" MANGO PLASTICO PROFES. RADIANT","0,00",PZA,1200,1200
BRO051,"BROCHA PETUNIA 1"" MANGO PLASTICO PROFES. RADIANT","0,00",PZA,600,600
BRO052,"BROCHA PETUNIA 1 1/2"" MANGO PLASTICO PROFES. RADIANT","0,00",PZA,480,480
